"Cause of Death","Deaths","Percent","State","First Year","Last Year","Race/Ethnicty","Sex","Age Group"
"Poisoning","58335","36.1489459268531","United States","2016","2016","All Races,","Both Sexes","All Ages"
"MV Traffic","38748","24.0113029360367","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Fall","34673","21.4861130045732","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Suffocation","6610","4.09607495631266","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Unspecified","6507","4.03224806970143","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Drowning","3786","2.34610284184565","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Fire/burn","2803","1.73695886574045","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Natural/ Environment","1678","1.03982054110327","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Other Spec., classifiable","1385","0.85825473744221","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Other Land Transport","1292","0.80062463593887","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Other Spec., NEC","1292","0.80062463593887","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Pedestrian, Other","982","0.6085242975944","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Other Transport","902","0.55895001673131","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Struck by or Against","801","0.49636248714167","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Machinery","610","0.37800389158104","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Firearm","495","0.30674086284035","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Pedal cyclist, Other","311","0.19272001685525","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Cut/pierce","152","0.09419113363986","United States","2016","2016","All Races,","Both Sexes","All Ages"
"Overexertion","12","0.00743614212946","United States","2016","2016","All Races,","Both Sexes","All Ages"
